,MRIPDFF,rf,env,log,den,phase,phase2,rf,env,log,den,phase,phase2,,,,,,,,,,,,,,,,,,,,,,,
67,27.65,3.728268668,5.571656524,6.808592224,6.447172795,3.465861248,4.918749462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,27.65,3.481886432,5.150403304,6.819232034,6.365222952,3.465670726,4.982184525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,27.65,2.76037648,4.04073791,6.911248601,6.303681501,3.465726977,4.949151299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,27.65,2.948778999,4.226648739,6.93118722,6.333449849,3.462959771,4.969412708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,27.65,2.531470787,2.943310113,6.944772257,6.148461482,3.447988727,5.028707112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4.8000002,2.976413993,3.888718153,6.613062895,6.181941003,3.463647704,4.989091767,4.8000002,2.643170006,3.475396233,6.710219171,6.064119814,3.434421146,,,,,,,,,,,,,,,,,,,,,,,
73,4.8000002,3.059949743,3.988205061,6.609464446,6.208825468,3.460167218,4.949021961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4.8000002,3.079172928,4.031184874,6.662836069,6.272020019,3.460440122,4.90069633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4.8000002,2.305952636,3.219983797,6.793934746,5.930144694,3.412707952,4.995529722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4.8000002,2.257300116,2.959735827,6.8063839,5.91846311,3.405546192,4.989722403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4.8000002,2.180230617,2.764549683,6.775632969,5.873324587,3.404017688,5.005286449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,14.13,3.775768857,5.381138158,6.892805303,6.555605129,3.464622722,4.856482216,14.13,3.311807957,4.672786812,6.949011998,6.475037632,3.462460958,,,,,,,,,,,,,,,,,,,,,,,
79,14.13,3.805856813,5.552844503,6.941899281,6.576067345,3.470972124,5.066191686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,14.13,3.640699179,5.458419948,6.918351794,6.488787435,3.466757741,4.966295578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,14.13,3.851988281,5.528520071,6.939185047,6.642996111,3.466251714,5.004994051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
